名稱 購買點數 賣出點數 說明
遙控骰子 30 15 可以指定走的步數(1~6)
路障 30 15 可以將自己或其他角色擋住
隱雷 50 20 放置後一回合隱形，剛好踩到該格則會爆炸，腳踏車、汽車會壞掉
定時炸彈 60 30經過就會自動黏著在角色身上，當其他角色經過被炸彈綁住的角色的時候，炸彈會轉移到另一個人身上，走一步則減一，到0就爆炸
木蘭飛彈 200 75指定一個區域發射飛彈，範圍內建築物減一層，角色交通工具損毀，並且住院三回合
核彈 -1 200 指定一個區域，範圍內房屋全毀，角色交通工具損毀，並且住院五回合
清道夫 30 15 清除前方十步之神明、衰鬼、惡犬、寶物
藍寶街尼 300 150 使用後可丟三顆骰子(高中生、大學生不能開)
台灣水電工 50 25 指定一建築，將其多蓋一層   
挖土機 50 25 指定一建築，將其毀壞一層
319的那把槍 100 50 可攻擊螢幕範圍內角色，使其住院3回合
手榴彈(芭樂) 150 75 假芭樂，真手榴彈，範圍內角色住院三回合，交通工具損毀
防彈背心 100 50 可抵擋一次槍、手榴彈的攻擊
鋼鐵人盔甲 300 150 可抵擋一次槍、手榴彈、飛彈、隱雷的攻擊(核彈不行) 
夾娃娃機 80 40 將最近的路上神明、衰鬼、惡犬、寶物吸給自己
購屋金牌 80 40 有了這張金牌，就能遊說屋主賣出其建築 
過路費上升 50 25 使某一個路段過路費x2
嫁禍術 80 40 將不好的隨機事件或其他角色所施放之非物理性攻擊轉嫁給其他角色
催眠術 100 50 使某個角色睡著，原地不動三回合，不能控制
烏龜 80 40 使某角色在三回合內，只能移動一步 
收政治獻金 150 75 對其他角色收取其現金的10%
反向 30 15 使角色轉向
夢遊 100 50 三回合內無法控制該角色，會自己移動，不會買房屋 
病毒 -1 0 使人生病，進入生病狀態五回合後須住院三回合，經過的人也有50%機會被傳染
